	name	start	stop	strand
331	b2987	3134872	3136371	-
332	b1880	1965043	1966191	-
333	b1881	1966393	1967037	-
334	b1882	1967048	1967437	-
335	b1883	1967452	1968501	-
336	b1884	1968504	1969364	-
337	b1885	1969383	1970984	-
338	b1886	1971030	1972691	-
339	b1887	1972836	1973339	-
340	b2452	2566881	2568107	-
341	b2453	2568324	2569511	-
342	b2450	2564523	2565332	+
343	b2504	2629290	2629481	+
344	b2505	2629792	2630310	+
345	b2506	2630326	2630865	+
346	b2451	2565481	2566884	-
347	b2500	2622234	2622872	+
348	b2501	2623044	2625110	+
349	b2502	2625115	2626656	+
350	b2503	2626695	2628938	-
351	b2456	2571763	2572050	-
352	b2508	2632604	2634070	-
353	b2509	2634232	2635602	+
354	b2457	2572157	2572450	-
355	b1080	1136274	1137371	+
356	b1081	1137371	1138312	+
357	b1082	1138378	1140021	+
358	b1083	1140033	1140986	+
359	b1084	1141182	1144367	-
360	b1085	1144502	1144822	+
361	b1086	1144940	1145899	+
362	b1087	1146011	1146595	-
363	b1088	1146794	1147315	+
364	b1089	1147367	1147540	+
365	b2455	2570348	2571751	-
366	b3346	3475718	3476440	-
367	b4069	4285413	4287371	-
368	b1522	1610907	1611854	-
369	b3063	3208024	3209487	+
370	b3341	3473542	3474081	-
371	b1521	1609229	1610680	-
372	b4006	4205943	4207532	-
373	b2760	2882630	2884138	-
374	b2761	2884553	2887219	-
375	b2762	2887578	2888312	-
376	b1520	1608108	1609022	-
377	b2764	2890099	2891898	-
378	b2765	2892214	2892579	+
379	b2766	2892657	2893928	+
380	b2767	2893919	2894179	+
381	b2768	2894196	2894771	+
382	b2769	2894919	2895779	-
383	b4143	4371025	4372671	+
384	b4170	4397412	4399259	+
385	b4345	4576912	4577958	-
386	b4548	2776877	2777077	+
387	b4347	4579499	4579840	-
388	b1268	1324746	1326641	+
389	b1269	1326852	1327727	+
390	b1264	1321384	1322946	-
391	b1265	1323038	1323082	-
392	b1266	1323220	1324101	+
393	b1267	1324098	1324718	+
394	b1260	1316416	1317222	-
395	b1261	1317222	1318415	-
396	b1262	1318427	1319788	-
397	b1263	1319789	1321384	-
398	b4061	4275471	4277057	+
399	b4060	4274760	4275041	-
400	b1529	1618243	1618908	-
401	b4177	4404687	4405985	+
402	b1528	1617028	1618218	+
403	b4065	4279980	4281629	+
404	b0037	36271	37824	-
405	b1642	1720390	1720824	-
406	b1643	1721025	1721261	+
407	b0849	890496	890753	-
408	b0848	890089	890466	+
409	b1646	1724134	1724655	-
410	b1647	1724736	1725632	-
411	b1644	1721264	1722121	+
412	b1645	1722121	1724133	+
413	b0843	884946	885230	-
414	b0842	883673	884905	+
415	b0841	882792	883388	-
416	b0840	881976	882734	-
417	b0847	888134	889819	-
418	b0846	887423	887959	+
419	b0845	886131	887339	-
420	b0844	885316	886131	-
421	b4120	4343369	4344790	+
422	b4121	4344929	4345558	-
423	b4122	4345680	4347326	-
424	b4123	4347404	4348744	-
425	b0119	134388	134750	+
426	b0118	131615	134212	+
427	b3342	3474178	3474552	-
428	b4127	4352085	4352357	+
429	b0115	125695	127587	+
430	b0114	123017	125680	+
431	b0117	129407	131260	-
432	b0116	127912	129336	+
433	b0111	119281	120135	+
434	b0110	118733	119284	+
435	b0113	122092	122856	+
436	b0112	120178	121551	-
437	b1468	1538850	1542590	-
438	b1469	1542672	1544060	-
439	b1462	1533282	1533851	-
440	b1463	1534024	1534869	+
441	b1460	1531816	1532952	+
442	b1461	1533052	1533285	+
443	b1466	1536614	1537309	-
444	b1467	1537309	1538853	-
445	b1464	1534965	1535858	-
446	b1465	1535937	1536617	-
447	b0591	622300	623550	+
448	b0590	621185	622189	-
449	b0593	624885	626060	+
450	b0592	623554	624510	-
451	b0595	627694	628551	+
452	b0594	626070	627680	+
453	b0597	629300	629713	+
454	b0596	628551	629297	+
455	b0599	632389	633477	-
456	b0598	629894	631999	+
457	b0601	634747	635376	-
458	b0600	633586	634746	+
459	b0603	636716	637618	-
460	b0602	635349	636569	-
461	b0605	638945	639508	+
462	b0604	637827	638573	-
463	b0607	641439	641867	-
464	b0606	639753	641318	+
465	b4174	4402038	4403297	+
466	b0608	642088	643326	+
467	b4216	4438708	4439262	-
468	b0029	26277	27227	+
469	b0028	25826	26275	+
470	b1514	1603019	1604047	+
471	b1515	1604047	1605039	+
472	b1512	1600288	1601241	-
473	b1513	1601490	1603025	+
474	b1511	1598617	1600209	-
475	b0021	19811	20314	-
476	b0020	18715	19620	+
477	b0023	20815	21078	-
478	b0022	20233	20508	-
479	b0025	21407	22348	+
480	b0024	21181	21399	+
481	b0027	25207	25701	+
482	b0026	22391	25207	+
483	b4094	4315525	4316082	-
484	b3719	3899408	3900577	-
485	b4096	4317215	4317895	-
486	b0933	993277	994044	-
487	b0932	990622	993234	+
488	b0931	989154	990356	-
489	b0930	987585	988985	-
490	b0937	996937	997512	-
491	b0936	995985	996944	-
492	b0935	994843	995988	-
493	b0934	994041	994832	-
494	b4090	4313350	4313799	+
495	b0939	998490	999191	+
496	b0938	997868	998407	+
497	b2947	3091878	3092828	+
498	b4224	4448447	4448698	+
499	b0929	985894	986982	-
500	b3989	4189786	4190325	+
501	b3247	3396326	3397795	-
502	b4092	4314344	4315102	-
503	b3712	3893881	3894630	+
504	b4093	4315104	4315538	-
505	b3241	3388194	3389126	-
506	b0335	352706	354592	+
507	b0334	351215	352666	+
508	b0337	356171	357454	+
509	b0336	354922	356181	+
510	b0331	348682	349572	+
511	b0330	346857	348443	-
512	b0333	350012	351181	+
513	b3243	3389520	3390449	+
514	b0339	358799	359458	+
515	b0338	357791	358690	-
516	b3988	4185350	4189573	+
517	b4655	4506448	4506573	+
518	b3348	3477640	3477858	+
519	b3218	3365702	3366718	-
520	b3210	3350689	3353025	-
521	b3755	3940635	3941327	-
522	b4004	4203320	4204645	+
523	b3028	3172530	3173111	+
524	b3029	3173142	3173456	+
525	b3020	3166111	3167718	-
526	b3021	3167851	3168246	-
527	b3022	3168248	3168544	-
528	b3023	3168749	3169231	-
529	b3024	3169284	3169676	-
530	b3025	3169828	3170487	+
531	b3026	3170484	3171833	+
532	b3027	3171879	3172211	-
533	b2774	2899488	2900273	-
534	b4218	4439872	4441215	-
535	b2024	2095125	2095862	+
536	b3590	3758017	3759861	-
537	b3591	3759858	3761249	-
538	b3592	3761347	3761955	-
539	b3593	3762183	3766316	+
540	b3594	3766337	3767179	+
541	b3596	3768177	3768638	+
542	b3597	3770243	3771379	-
543	b3598	3771382	3771744	-
544	b3599	3772281	3774194	+
545	b4032	4242626	4243516	-
546	b3114	3260124	3262418	-
547	b4667	2153349	2153408	-
548	b3116	3263686	3265017	-
549	b3117	3265039	3266028	-
550	b3110	3256679	3258010	-
551	b4666	3195141	3195200	+
552	b3986	4180560	4180925	+
553	b3118	3266127	3267065	-
554	b4665	3056890	3056949	-
555	b4664	3194766	3194825	+
556	b4033	4243531	4245075	-
557	b3983	4178447	4178875	+
558	b4320	4548808	4549710	+
559	b4662	77388	77519	+
560	b3399	3528669	3529337	+
561	b3378	3507348	3507701	-
562	b3379	3507712	3508590	-
563	b4358	4595990	4597012	+
564	b3374	3503167	3503952	+
565	b3375	3504052	3504783	+
566	b3376	3504935	3506020	-
567	b3377	3506032	3507336	-
568	b3370	3499910	3501247	+
569	b3371	3501268	3502290	+
570	b4030	4240325	4240735	+
571	b3859	4042415	4043401	+
572	b3688	3867728	3868060	+
573	b3689	3868062	3869309	-
574	b3684	3863899	3864615	+
575	b3685	3864612	3866273	-
576	b3686	3866469	3866897	-
577	b3687	3867009	3867422	-
578	b3680	3860283	3861176	+
579	b3429	3566600	3568033	-
580	b4217	4439587	4439793	+
581	b3200	3343380	3343937	+
582	b1372	1429049	1432411	+
583	b2379	2497057	2498295	-
584	b2378	2495645	2496565	+
585	b3204	3346578	3347069	+
586	b3205	3347115	3347969	+
587	b3206	3347966	3348238	+
588	b1373	1432411	1432986	+
589	b2373	2490256	2491950	-
590	b2372	2489242	2490186	-
591	b2371	2488023	2489168	-
592	b4668	2153681	2153737	-
593	b2377	2495050	2495292	-
594	b0777	811522	812277	+
595	b2375	2493767	2494402	-
596	b2374	2492004	2493254	-
597	b2153	2242984	2243652	-
598	b2152	2241810	2242967	-
599	b2151	2240628	2241668	-
600	b2150	2239350	2240348	-
601	b2157	2248737	2249618	-
602	b2156	2247063	2248532	-
603	b2155	2244778	2246769	-
604	b2154	2243910	2244746	+
605	b2405	2521593	2522477	-
606	b1376	1435185	1435619	-
607	b2159	2250840	2251697	+
608	b2158	2249717	2250766	+
609	b2400	2519257	2520672	-
610	b1377	1435760	1436893	-
611	b3980	4175944	4177128	+
612	b2979	3126522	3128021	-
613	b1374	1433084	1433674	-
614	b2975	3119597	3121279	-
615	b3973	4173082	4174047	+
616	b2977	3123827	3124231	-
617	b1375	1433991	1434224	-
618	b2971	3113067	3113477	-
619	b3668	3848634	3850136	-
620	b3974	4174076	4175026	-
621	b2972	3113543	3114352	-
622	b2081	2165668	2167029	+
623	b2080	2165189	2165521	+
624	b2082	2167302	2167520	-
625	b2085	2167989	2168306	-
626	b2086	2168712	2169611	+
627	b2089	2170532	2171398	+
628	b2088	2170236	2170535	+
629	b0871	909331	911049	-
630	b2571	2707798	2708754	-
631	b2570	2707322	2707801	-
632	b2573	2709437	2710012	-
633	b2572	2708754	2709404	-
634	b2575	2712027	2712764	-
635	b2574	2710420	2712042	+
636	b2577	2714439	2715320	-
637	b2576	2712896	2714230	+
638	b2579	2716066	2716449	-
639	b2578	2715423	2716010	+
640	b3433	3573775	3574878	-
641	b1079	1135564	1136262	+
642	b1078	1134729	1135511	+
643	b3432	3571316	3573502	-
644	b1075	1131854	1132549	+
645	b1074	1131438	1131842	+
646	b1077	1133802	1134557	+
647	b1076	1132574	1133782	+
648	b1071	1129835	1130128	-
649	b1070	1129414	1129830	-
650	b1073	1131018	1131434	+
651	b1072	1130204	1130863	-
652	b1981	2053643	2054959	+
653	b4353	4588876	4589079	-
654	b1983	2056858	2057574	+
655	b1982	2055061	2056515	+
656	b1985	2058203	2059690	-
657	b1987	2059964	2060914	-
658	b1988	2061016	2061933	-
659	b2538	2669032	2670393	+
660	b2889	3033065	3033613	+
661	b2888	3031367	3032815	+
662	b2829	2966188	2968434	-
663	b2881	3021316	3024186	+
664	b2880	3020540	3021319	+
665	b2883	3025766	3027085	+
666	b2828	2965162	2966037	-
667	b2887	3029012	3030931	-
668	b2886	3028524	3029012	-
669	b2827	2964361	2965155	-
670	b2799	2931865	2933013	-
671	b2798	2931055	2931810	+
672	b2826	2963707	2964177	-
673	b2795	2926308	2927672	+
674	b2794	2925348	2926196	+
675	b2797	2929576	2930943	+
676	b2796	2928229	2929518	+
677	b2791	2923002	2923784	-
678	b2537	2668006	2668896	-
679	b2793	2924735	2925280	-
680	b2792	2923784	2924113	-
681	b1219	1273246	1273599	-
682	b1218	1272507	1273202	+
683	b4333	4562743	4563603	-
684	b2536	2666707	2667846	-
685	b4335	4564699	4565850	-
686	b4334	4563922	4564689	-
687	b4337	4567287	4568519	-
688	b4336	4565966	4567246	-
689	b1211	1265012	1266094	+
690	b1210	1263714	1264970	+
691	b1213	1266924	1267316	+
692	b1212	1266094	1266927	+
693	b1215	1268165	1269019	+
694	b1214	1267320	1268129	+
695	b1217	1272119	1272349	+
696	b1216	1270749	1271849	-
697	b1189	1237571	1238869	+
698	b1188	1235709	1237241	-
699	b4558	3994522	3994725	+
700	b2821	2955996	2958884	-
701	b1181	1228815	1229276	+
702	b1180	1228079	1228738	+
703	b1183	1230767	1231186	+
704	b1182	1229483	1230394	-
705	b1185	1232500	1233030	-
706	b1184	1231186	1232454	+
707	b1187	1234938	1235657	+
708	b1186	1233176	1234717	-
709	b0854	893784	894896	+
710	b0855	894991	896124	+
711	b0856	896134	897087	+
712	b0857	897084	897929	+
713	b0850	890913	891200	+
714	b0851	891184	891906	+
715	b0852	891967	892869	+
716	b0853	892957	893433	+
717	b3943	4136108	4137013	+
718	b0858	897989	898477	+
719	b0859	898518	899645	+
720	b1853	1936652	1937521	+
721	b1852	1934839	1936314	-
722	b1851	1932793	1934604	-
723	b1850	1932115	1932756	-
724	b1857	1941651	1942583	-
725	b1856	1940313	1941635	-
726	b1679	1758874	1759290	-
727	b1678	1757721	1758725	-
728	b1677	1757421	1757657	+
729	b1676	1755698	1757110	+
730	b1675	1754932	1755141	-
731	b1674	1753851	1754477	-
732	b1673	1751728	1753830	-
733	b1672	1751077	1751724	-
734	b1671	1750345	1751013	-
735	b1670	1749563	1750348	-
736	b1325	1388930	1389895	+
737	b1324	1388305	1388811	-
738	b1327	1390933	1391853	-
739	b1326	1389870	1390598	-
740	b1321	1384117	1385514	+
741	b1320	1382963	1383961	-
742	b0108	117109	117549	-
743	b1322	1385511	1386572	+
744	b0106	114522	115724	-
745	b0107	115714	117099	-
746	b0104	113444	114487	+
747	b4484	4105820	4106320	+
748	b1329	1393227	1394840	+
749	b0103	112599	113219	-
750	b4481	3977525	3978604	+
751	b0101	111649	111846	-
752	b1695	1777196	1778347	+
753	b1694	1775587	1777182	+
754	b1697	1779617	1780381	+
755	b1696	1778390	1779301	-
756	b1691	1772512	1773777	+
757	b1690	1771071	1772285	+
758	b1693	1774686	1775444	+
759	b1692	1773789	1774655	+
760	b4200	4425118	4425513	+
761	b4244	4470986	4471447	-
762	b4246	4472399	4472533	-
763	b1699	1781395	1782684	+
764	b1698	1780401	1781339	+
765	b4243	4470527	4470913	-
766	b4242	4467625	4470321	+
767	b0582	608065	609177	+
768	b0583	609459	610079	-
769	b0580	605951	606199	-
770	b0581	606265	607383	-
771	b0586	614157	618038	+
772	b0587	618254	619387	+
773	b0584	610254	612494	-
774	b0585	612737	613939	+
775	b0588	619384	620199	-
776	b0589	620196	621188	-
777	b1877	1961972	1962460	+
778	b0612	645117	646580	-
779	b0613	646631	647509	-
780	b0610	643557	643967	-
781	b0611	644197	645003	-
782	b0616	649582	650490	-
783	b0617	650487	650783	-
784	b0614	647484	648035	-
785	b0615	648039	649571	-
786	b1328	1391991	1392890	+
787	b1871	1953442	1954413	+
788	b0618	650798	651856	-
789	b0619	652235	653893	+
790	b1870	1952702	1953445	+
791	b2835	2972669	2973862	-
792	b1657	1736121	1737290	-
793	b1656	1735378	1735959	+
794	b1523	1611966	1612325	-
795	b0876	916473	918131	+
796	b0038	37898	39115	-
797	b0039	39244	40386	-
798	b1527	1615763	1616878	+
799	b1526	1614804	1615685	+
800	b1525	1613315	1614703	-
801	b1524	1612325	1613251	-
802	b0032	29651	30799	+
803	b0033	30817	34038	+
804	b0030	27293	28207	+
805	b0031	28374	29195	+
806	b0036	35377	36162	-
807	b0874	913958	914857	-
808	b0034	34300	34695	+
809	b0035	34781	35371	-
810	b0872	911182	912150	-
811	b1878	1962580	1962972	-
812	b0928	984519	985709	-
813	b0870	908293	909294	-
814	b0924	976326	980786	+
815	b0925	981047	982894	+
816	b0926	983075	983623	+
817	b0927	983650	984297	+
818	b0920	972622	973401	-
819	b0921	973537	974322	+
820	b0922	974319	975641	+
821	b0923	975622	976326	+
822	b1571	1648508	1648663	+
823	b0326	344176	344991	+
824	b0327	345404	345649	+
825	b0324	341125	342507	+
826	b0325	342884	343933	+
827	b4663	1987873	1987959	-
828	b0323	340165	341115	+
829	b0320	336778	338325	+
830	b0321	338325	339743	+
831	b3984	4178879	4179583	+
832	b0328	345666	346337	-
833	b0329	346484	346759	+
834	b4465	3076179	3077456	-
835	b4464	3027121	3028488	+
836	b4467	3124236	3125459	-
837	b4466	3114550	3119112	-
838	b4461	2748774	2750060	+
839	b4460	1982554	1983540	-
840	b4463	2897964	2899418	-
841	b3326	3458339	3459820	+
842	b4469	3158927	3161146	-
843	b4468	3125470	3126522	-
844	b3279	3429236	3429790	+
845	b3892	4081225	4081860	-
846	b3895	4086016	4086849	+
847	b1847	1930034	1930390	-
848	b3894	4082772	4085822	-
849	b3488	3630968	3632590	-
850	b3320	3452297	3452926	-
851	b4206	4428079	4428717	-
852	b2540	2670908	2671228	+
853	b2541	2671225	2672037	+
854	b2836	2973855	2976014	-
855	b3880	4070515	4071756	-
856	b2542	2672047	2673249	+
857	b1776	1860256	1861332	-
858	b2543	2673346	2673768	+
859	b1777	1861702	1861974	-
860	b2544	2673816	2674688	-
861	b4209	4431321	4431983	-
862	b2545	2674700	2675761	-
863	b2546	2675827	2676825	-
864	b2547	2676850	2678361	-
865	b4669	3950507	3950557	+
866	b2878	3016060	3019158	+
867	b3569	3734979	3736157	+
868	b3568	3733720	3734901	+
869	b3565	3729443	3730765	-
870	b3564	3727917	3729371	-
871	b3567	3732201	3733742	+
872	b1771	1854991	1855971	-
873	b3561	3725887	3726882	+
874	b3560	3724407	3725318	-
875	b3563	3727407	3727748	-
876	b3562	3726924	3727361	-
877	b0681	708334	709740	+
878	b3941	4132616	4133506	+
879	b2052	2126225	2127190	-
880	b0683	710200	710646	-
881	b3161	3304573	3305817	-
882	b3160	3303448	3304455	+
883	b3163	3308040	3308924	-
884	b3162	3305971	3307860	-
885	b3165	3311415	3311684	-
886	b3164	3309033	3311168	-
887	b3167	3312777	3313178	-
888	b3166	3311833	3312777	-
889	b3169	3316039	3317526	-
890	b4502	2265041	2265295	-
891	b1778	1862016	1862429	-
892	b1476	1551338	1551991	+
893	b3309	3447453	3447767	-
894	b3308	3446899	3447438	-
895	b3301	3444105	3444539	-
896	b3300	3442766	3444097	-
